#Evaluation x y z
0 -0.0400967 0.0 -0.0115986
0 -0.0408538 0.0 -0.000490026
0 -0.0840449 0.0 0.0167657
0 -0.0659783 0.0 -0.0103919
0 -0.0631369 0.0 0.00548172
0 -0.0987736 0.0 0.0140602
0 -0.0942242 0.0 -0.013818
0 -0.0874663 0.0 0.00406569
0 -0.112983 0.0 0.00428022
0 -0.119753 0.0 -0.0221199
0 -0.112509 0.0 -0.003287
0 -0.130639 0.0 -0.00524262
0 -0.152379 0.0 -0.0182793
0 -0.144475 0.0 0.000732715
0 -0.157633 0.0 -0.00378972
0 -0.181599 0.0 -0.0223097
1 -0.277512 0.0 0.109278
1 -0.196186 0.0 -0.0836648
1 -0.251711 0.0 -0.321187
1 -0.157947 0.0 -0.221471
1 -0.264079 0.0 -0.425378
1 -0.272984 0.0 -0.404295
1 -0.214388 0.0 -0.363009
1 -0.382468 0.0 -0.509425
1 -0.524021 0.0 -0.462287
1 -0.504657 0.0 -0.441819
1 -0.777128 0.0 -0.413842
1 -0.755377 0.0 -0.383797
1 -0.751216 0.0 -0.378596
1 -0.8534 0.0 -0.281306
1 -0.828366 0.0 -0.249954
1 -0.847813 0.0 -0.234081
2 -0.835753 0.0 -0.29069
2 -0.704911 0.0 -0.347947
2 -0.699313 0.0 -0.322575
2 -0.733555 0.0 -0.490308
2 -0.678875 0.0 -0.664276
2 -0.635784 0.0 -0.763885
2 -0.584965 0.0 -0.684184
2 -0.560502 0.0 -0.721299
2 -0.515352 0.0 -0.979229
2 -0.412413 0.0 -0.920088
2 -0.393704 0.0 -0.980683
2 -0.373532 0.0 -1.25874
2 -0.241143 0.0 -1.20874
2 -0.161882 0.0 -1.26991
2 -0.2155 0.0 -1.44257
2 -0.0540725 0.0 -1.54872
3 -0.18313 0.0 -1.57118
3 -0.199392 0.0 -1.53225
3 -0.250368 0.0 -1.59011
3 -0.401635 0.0 -1.55034
3 -0.394999 0.0 -1.53049
3 -0.468789 0.0 -1.60134
3 -0.632125 0.0 -1.55924
3 -0.629359 0.0 -1.57593
3 -0.695871 0.0 -1.68992
3 -0.851192 0.0 -1.66446
3 -0.829326 0.0 -1.68621
3 -0.953548 0.0 -1.71885
3 -1.13282 0.0 -1.66194
3 -1.13742 0.0 -1.63186
3 -1.22159 0.0 -1.7022
3 -1.37694 0.0 -1.65685
4 -1.47557 0.0 -1.61793
4 -1.45825 0.0 -1.6393
4 -1.66371 0.0 -1.65031
4 -1.6326 0.0 -1.74215
4 -1.66728 0.0 -1.67945
4 -1.91063 0.0 -1.64883
4 -1.79872 0.0 -1.60535
4 -1.8142 0.0 -1.5958
4 -1.99525 0.0 -1.77637
4 -2.02256 0.0 -1.76421
4 -2.19281 0.0 -1.84252
4 -2.10827 0.0 -1.93486
4 -2.0466 0.0 -2.10691
4 -2.106 0.0 -2.15211
4 -2.01478 0.0 -1.89004
4 -1.87774 0.0 -1.96194
5 -1.9564 0.0 -1.83298
5 -1.99204 0.0 -2.05409
5 -2.18323 0.0 -1.8434
5 -2.16507 0.0 -1.88637
5 -2.16286 0.0 -1.91714
5 -2.38072 0.0 -1.77949
5 -2.20731 0.0 -1.77866
5 -2.06895 0.0 -1.82018
5 -2.2264 0.0 -1.84436
5 -2.05161 0.0 -1.9124
5 -1.89244 0.0 -1.98688
5 -2.0548 0.0 -1.96011
5 -1.89569 0.0 -2.08513
5 -1.79058 0.0 -2.11864
5 -1.92399 0.0 -2.11251
5 -1.75701 0.0 -2.23158
6 -1.7264 0.0 -2.26331
6 -1.5951 0.0 -2.19242
6 -1.87727 0.0 -2.39967
6 -2.20124 0.0 -2.84442
6 -2.21298 0.0 -2.87397
6 -2.09829 0.0 -3.01505
6 -1.97339 0.0 -3.01304
6 -1.91324 0.0 -3.01346
6 -1.82173 0.0 -2.8414
6 -1.882 0.0 -2.74714
6 -1.89895 0.0 -2.65068
6 -2.0471 0.0 -2.60851
6 -2.12908 0.0 -2.76556
6 -2.17474 0.0 -2.81742
