#Evaluation x y z
0 0.00416685 0.0 -0.0182136
0 -0.0315518 0.0 -0.0503681
0 -0.0110321 0.0 -0.00962408
0 -0.0602924 0.0 0.0068112
0 -0.0899779 0.0 0.0122329
0 -0.0784217 0.0 0.0483987
0 -0.114452 0.0 0.033182
0 -0.0409866 0.0 0.0119592
0 -0.106989 0.0 0.0741871
0 -0.142049 0.0 0.0916717
0 -0.0982461 0.0 0.0912616
0 -0.131033 0.0 0.115494
0 -0.163834 0.0 0.112079
0 -0.126467 0.0 0.0858329
0 -0.171768 0.0 0.141613
0 -0.183585 0.0 0.204948
1 -0.227723 0.0 0.420696
1 -0.272538 0.0 0.302544
1 -0.329711 0.0 0.473275
1 -0.236593 0.0 0.700842
1 -0.371312 0.0 0.637219
1 -0.220019 0.0 0.840214
1 -0.0736055 0.0 0.959705
1 -0.251242 0.0 0.932871
1 -0.0124241 0.0 1.05584
1 0.113122 0.0 1.12746
1 -0.0481093 0.0 1.17161
1 0.228311 0.0 1.18904
1 0.370949 0.0 1.15435
1 0.269737 0.0 1.25916
1 0.527916 0.0 1.06006
1 0.584937 0.0 1.03686
2 0.584251 0.0 0.869399
2 0.510128 0.0 1.01332
2 0.485446 0.0 0.961791
2 0.502848 0.0 0.892173
2 0.408817 0.0 1.16374
2 0.363136 0.0 1.03542
2 0.277904 0.0 0.909087
2 0.276912 0.0 1.09176
2 0.251914 0.0 1.06593
2 0.23938 0.0 1.04806
2 0.214472 0.0 1.20752
2 0.155349 0.0 1.18081
2 0.127667 0.0 1.18605
2 0.20132 0.0 1.33833
2 0.166966 0.0 1.2942
2 0.158115 0.0 1.30662
3 0.226145 0.0 1.42973
