#Evaluation x y z
0 -0.153017 0.0 0.0127371
0 -0.130547 0.0 0.00144576
0 -0.135689 0.0 -0.00343535
0 -0.162694 0.0 0.0159291
0 -0.137572 0.0 0.000274932
0 -0.140809 0.0 -0.00202724
0 -0.171593 0.0 0.0186119
0 -0.142938 0.0 -1.08064e-05
0 -0.145832 0.0 -0.000684693
0 -0.179583 0.0 0.0206231
0 -0.148571 0.0 0.000299618
0 -0.151295 0.0 0.000833352
0 -0.186538 0.0 0.0218664
0 -0.156156 0.0 0.00130773
0 -0.156867 0.0 0.00237585
0 -0.192394 0.0 0.0224283
1 -0.292318 0.0 0.0588077
1 -0.387581 0.0 0.0528434
1 -0.380301 0.0 0.105924
1 -0.447582 0.0 0.143088
1 -0.541399 0.0 0.202874
1 -0.498033 0.0 0.232761
1 -0.53526 0.0 0.30212
1 -0.579173 0.0 0.392783
1 -0.512174 0.0 0.388476
1 -0.545741 0.0 0.497122
1 -0.547848 0.0 0.596253
1 -0.494982 0.0 0.552497
1 -0.494159 0.0 0.666347
1 -0.451202 0.0 0.751078
1 -0.427221 0.0 0.679437
1 -0.371018 0.0 0.780133
2 -0.3874 0.0 0.728075
2 -0.384253 0.0 0.784949
2 -0.464601 0.0 0.701257
2 -0.42224 0.0 0.733651
2 -0.374454 0.0 0.77874
2 -0.487294 0.0 0.744225
2 -0.471756 0.0 0.759799
2 -0.431104 0.0 0.777199
2 -0.497899 0.0 0.806415
2 -0.506689 0.0 0.839055
2 -0.458259 0.0 0.84758
2 -0.528733 0.0 0.884011
2 -0.525292 0.0 0.898064
2 -0.458118 0.0 0.912705
2 -0.532537 0.0 1.03909
2 -0.509088 0.0 1.03848
3 -0.532791 0.0 0.941964
3 -0.610352 0.0 0.999709
3 -0.637734 0.0 0.975544
3 -0.611197 0.0 0.967421
3 -0.641682 0.0 1.03728
3 -0.682346 0.0 1.00949
3 -0.667935 0.0 0.985469
3 -0.669056 0.0 1.08604
3 -0.710182 0.0 1.04706
3 -0.701369 0.0 1.02321
3 -0.685555 0.0 1.13704
3 -0.707184 0.0 1.0515
3 -0.699579 0.0 0.991934
3 -0.672945 0.0 1.12945
3 -0.731068 0.0 1.10971
3 -0.719964 0.0 1.04345
4 -0.499442 0.0 0.928702
4 -0.215911 0.0 0.49964
4 -0.0604965 0.0 0.547376
4 -0.126036 0.0 0.626039
4 -0.115546 0.0 0.567466
4 -0.346969 0.0 0.621109
4 -0.158778 0.0 0.67212
4 -0.162759 0.0 0.593688
4 -0.201346 0.0 0.607764
4 -0.233937 0.0 0.626786
4 -0.143205 0.0 0.496823
4 -0.26441 0.0 0.484641
4 -0.242542 0.0 0.643017
4 -0.205755 0.0 0.580713
4 -0.280552 0.0 0.484249
4 -0.294243 0.0 0.49762
5 -0.327747 0.0 0.274882
