#Evaluation x y z
0 2.89223 0.0 3.17459
0 2.89778 0.0 3.16772
0 2.89876 0.0 3.16998
0 2.92706 0.0 3.19487
0 2.93229 0.0 3.1941
0 2.93359 0.0 3.20395
0 2.94427 0.0 3.19465
0 2.94934 0.0 3.19798
0 2.95272 0.0 3.19493
0 2.99116 0.0 3.20494
0 2.98816 0.0 3.20697
0 3.00176 0.0 3.21068
0 3.03478 0.0 3.21155
0 3.02385 0.0 3.21643
0 3.0193 0.0 3.21417
0 3.05236 0.0 3.21667
1 3.00611 0.0 3.23341
1 3.01581 0.0 3.19538
1 3.07084 0.0 3.21649
1 3.16606 0.0 3.30795
1 3.15743 0.0 3.26738
1 3.22612 0.0 3.32901
1 3.31703 0.0 3.40111
1 3.3045 0.0 3.33341
1 3.38126 0.0 3.40266
1 3.4725 0.0 3.47618
1 3.45883 0.0 3.39726
1 3.52518 0.0 3.48758
1 3.61994 0.0 3.5592
1 3.5987 0.0 3.49003
1 3.67229 0.0 3.59551
1 3.76388 0.0 3.64622
2 3.82747 0.0 3.70693
2 3.68469 0.0 3.64267
