#Evaluation x y z
0 -3.00831 0.0 -2.55798
0 -2.99027 0.0 -2.54764
0 -2.9571 0.0 -2.53894
0 -2.97865 0.0 -2.56024
0 -2.96985 0.0 -2.55111
0 -2.95645 0.0 -2.54242
0 -2.97502 0.0 -2.5607
0 -2.96678 0.0 -2.55571
0 -2.9512 0.0 -2.55089
0 -2.96752 0.0 -2.58668
0 -2.94281 0.0 -2.55899
0 -2.92737 0.0 -2.55495
0 -2.93915 0.0 -2.58865
0 -2.92303 0.0 -2.55867
0 -2.91752 0.0 -2.56444
0 -2.926 0.0 -2.59148
1 -2.91528 0.0 -2.56304
1 -2.92035 0.0 -2.56556
1 -2.91938 0.0 -2.57515
1 -2.91701 0.0 -2.54822
1 -2.91621 0.0 -2.55779
1 -2.91519 0.0 -2.58883
1 -2.91392 0.0 -2.54576
1 -2.91316 0.0 -2.55283
1 -2.91217 0.0 -2.55167
1 -2.91492 0.0 -2.52866
1 -2.91174 0.0 -2.55877
1 -2.92163 0.0 -2.55775
1 -2.93223 0.0 -2.54901
1 -2.94552 0.0 -2.55464
1 -2.95314 0.0 -2.56715
1 -2.94734 0.0 -2.52655
2 -2.98031 0.0 -2.53181
2 -2.96045 0.0 -2.50774
2 -2.99278 0.0 -2.51018
2 -2.99865 0.0 -2.50645
2 -2.98591 0.0 -2.48684
2 -3.01638 0.0 -2.50444
2 -3.01357 0.0 -2.50283
2 -2.99868 0.0 -2.48436
2 -3.01287 0.0 -2.51527
2 -2.9999 0.0 -2.51054
2 -3.00566 0.0 -2.51887
2 -3.01255 0.0 -2.55891
2 -3.00644 0.0 -2.55073
2 -2.9788 0.0 -2.56015
2 -3.01535 0.0 -2.59125
2 -3.00764 0.0 -2.5824
3 -2.9748 0.0 -2.64888
3 -2.93524 0.0 -2.58422
3 -2.90819 0.0 -2.61425
3 -2.89888 0.0 -2.64688
3 -2.84951 0.0 -2.58906
3 -2.82067 0.0 -2.6122
3 -2.77699 0.0 -2.60955
3 -2.72655 0.0 -2.57704
3 -2.70881 0.0 -2.6049
3 -2.69707 0.0 -2.61865
3 -2.6335 0.0 -2.5792
3 -2.62255 0.0 -2.61079
3 -2.59627 0.0 -2.61378
3 -2.55523 0.0 -2.59228
3 -2.55378 0.0 -2.61575
3 -2.50594 0.0 -2.61612
4 -2.46593 0.0 -2.62076
4 -2.41837 0.0 -2.55584
4 -2.40661 0.0 -2.57407
4 -2.40731 0.0 -2.54117
4 -2.33904 0.0 -2.46597
4 -2.32163 0.0 -2.4881
4 -2.29905 0.0 -2.43317
4 -2.2374 0.0 -2.37988
4 -2.25116 0.0 -2.37908
4 -2.23704 0.0 -2.36143
4 -2.17565 0.0 -2.33313
4 -2.19767 0.0 -2.3201
4 -2.19385 0.0 -2.29982
4 -2.14642 0.0 -2.35654
4 -2.1991 0.0 -2.35446
4 -2.1793 0.0 -2.37651
5 -2.10968 0.0 -2.43426
5 -2.10889 0.0 -2.45487
5 -2.10563 0.0 -2.46827
5 -2.10368 0.0 -2.47669
5 -2.124 0.0 -2.47901
